PATCH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004272613,4.8273608710564E-06,0,0,0,0,0,0,0,0,0.0723870534,0.0391945587,0,0,0,0,0,0,0,0,1,0.0488970734,0.000863426,0,0,0,0,0,0,0,0.0988197403,0.0205674787,0.0005503204,0,0,0,0,0,0,0,0.001893476,0.0014170015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002397723,0.0006945297,0.0002030404,0,0,0,0,0,0,0,0.0108611956,0.0575501965,0.0193157303,0.0003645534,0,0,0,0,0,0,0.0488970734,1,0.0523635199,0.0109802667,0,0,0,0,0,0,0.0146898524,0.0610431367,0.0305251444,0,0,0,0,0,0,0,0.0014256328,0.0017183243,0.0014492431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019910386,0,0,0,0,0,0,0,0,0.0333642276,0.081894526,0.0217158076,0.0001124993,0,0,0,0,0,0.000863426,0.0523635199,1,0.0940142904,9.73001301014827E-05,0,0,0,0,0,0,0.0272271641,0.0436885118,0.0125701387,3.22028143551467E-06,0,0,0,0,0,0,0.0001344339,0.0011989506,0.0011233334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002765479,2.35184063402337E-05,0,0,0,0,0,0,0,0.0001880369,0.0204492224,0.0868495625,0.0128355875,0.0004243504,0,0,0,0,0,0.0109802667,0.0940142904,1,0.0637282614,0.0011438497,0,0,0,0,0,0,0.014028146,0.107281967,0.0543821649,5.82544775156048E-05,0,0,0,0,0,0,0.000212136,0.0015844967,0.0015353877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029822898,0.0002646728,0.0004631186,0,0,0,0,0,0,1.87304526551687E-05,0.0701099596,0.1016887298,0.0044521336,0.0003206276,0,0,0,0,0,9.73001301014827E-05,0.0637282614,1,0.0697482921,3.11897895201564E-05,0,0,0,0,0,0.000811091,0.0332993336,0.1643493152,0.0417173092,1.68272218770476E-06,0,0,0,0,0,0,0.0004972161,0.0011009579,2.25214831556801E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005830465,0.0025129346,0.0004381972,0,0,0,0,0,0,1.05335222831342E-05,0.013708346,0.0789555448,0.0080200857,0.0004669208,0,0,0,0,0,0.0011438497,0.0697482921,1,0.0759147431,1.37941697682571E-06,0,0,0,0,0,9.7505007238285E-06,0.006939426,0.102017014,0.0210342814,0,0,0,0,0,0,0,9.41763864355198E-05,0.0065020749,6.83723720411986E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007304966,1.03826220921042E-05,0,0,0,0,0,0,8.70632244818186E-06,0.0265393479,0.1233367213,0.0343763801,0.0002535443,0,0,0,0,0,3.11897895201564E-05,0.0759147431,1,0.0927512315,3.19516862801313E-05,0,0,0,0,0,0,0.0190237909,0.0380742361,0.0084663256,4.26128482458667E-05,0,0,0,0,0,0,0.0003457306,0.0074300859,3.22869356400038E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55475188318993E-05,0.0022361764,0,0,0,0,0,0,0,6.51107081502706E-06,0.0043587787,0.3231510272,0.01907568,9.99841743356472E-05,0,0,0,0,0,1.37941697682571E-06,0.0927512315,1,0.0548097563,0.0040799734,0,0,0,0,0,0.000023609,0.04269016,0.0978008272,0.0268445636,0.0011812271,0,0,0,0,0,0,0.0002166259,0.0015546108,0.0003204779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22194240978127E-06,0.0055541464,0.0001160129,0,0,0,0,0,0,0.000360486,0.0045169788,0.0707077809,0.018338091,0,0,0,0,0,0,3.19516862801313E-05,0.0548097563,1,0.0686454627,0,0,0,0,0,0,0.000110214,0.0363240934,0.1729992622,0.039655632,0,0,0,0,0,0,0,1.24313077782062E-05,0.0022148671,0.0002031824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48882436741326E-05,0.0004215953,0,0,0,0,0,0,0,0,0.0141297055,0.1095447213,0,0,0,0,0,0,0,0.0040799734,0.0686454627,1,0,0,0,0,0,0,0,9.70008378906102E-05,0.0111798698,0.1204565398,0,0,0,0,0,0,0,0,2.14196616232848E-07,0.0021945041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006557903,7.57736159315638E-05,0,0,0,0,0,0,0,0,0.0988197403,0.0146898524,0,0,0,0,0,0,0,0,1,0.0418206352,0.0006568906,0,0,0,0,0,0,0,0.0390964398,0.0239901272,1.60358856590922E-05,0,0,0,0,0,0,0,0.0001576435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001692902,0.0001936461,0,0,0,0,0,0,0,0,0.0205674787,0.0610431367,0.0272271641,0,0,0,0,0,0,0,0.0418206352,1,0.0406806118,0.0029694595,0,0,0,0,0,0,0.0216171116,0.0671545351,0.008455956,0,0,0,0,0,0,0,0.0001168023,0.0007890485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021197085,2.24734331587307E-05,0,0,0,0,0,0,0,0.0005503204,0.0305251444,0.0436885118,0.014028146,0.000811091,0,0,0,0,0,0.0006568906,0.0406806118,1,0.037136645,0.0007711279,0,0,0,0,0,0,0.0201954682,0.1479817036,0.0238426118,0.0010326741,0,0,0,0,0,0,0,0.0001115402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028828726,0,0,0,0,0,0,0,0,0.0125701387,0.107281967,0.0332993336,9.7505007238285E-06,0,0,0,0,0,0.0029694595,0.037136645,1,0.1153757727,0.0038694554,0,0,0,0,0,0.001045056,0.0106459807,0.118449028,0.0115011274,0,0,0,0,0,0,0,0,0.0002889094,0.0006029604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009910847,0.0003953981,4.33394854483045E-05,0,0,0,0,0,0,3.22028143551467E-06,0.0543821649,0.1643493152,0.006939426,0,0,0,0,0,0,0.0007711279,0.1153757727,1,0.1119278184,0.0007410265,0,0,0,0,0,2.67926135421245E-05,0.0316272846,0.0549106174,0.0146493718,0.0001360375,0,0,0,0,0,0,0.0001978873,0.000846399,0.000389451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12463756621574E-05,0.0001054996,0,0,0,0,0,0,0,5.82544775156048E-05,0.0417173092,0.102017014,0.0190237909,0.000023609,0,0,0,0,0,0.0038694554,0.1119278184,1,0.1209328337,0.0001461071,0,0,0,0,0,1.64309433542252E-05,0.0130694547,0.0866014861,0.074354382,0,0,0,0,0,0,0,0,0.0013781418,0.0017596567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007489586,0.0042705022,3.51555862285735E-05,0,0,0,0,0,0,1.68272218770476E-06,0.0210342814,0.0380742361,0.04269016,0.000110214,0,0,0,0,0,0.0007410265,0.1209328337,1,0.0437195548,0.0010619662,0,0,0,0,0,0,0.0327653868,0.085979168,0.0219006384,0.0005205914,0,0,0,0,0,0,0.0002255073,0.0006873181,0.0001397651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31666169954463E-07,0.001036299,0.000373072,0,0,0,0,0,0,0,0.0084663256,0.0978008272,0.0363240934,9.70008378906102E-05,0,0,0,0,0,0.0001461071,0.0437195548,1,0.055218276,0.0009798487,0,0,0,0,0,0,0.0263766128,0.0895061536,0.0743909791,0.0027231917,0,0,0,0,0,0,0,0.0129079546,8.31003725772268E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001572879,0.0032900503,0.0001277787,0,0,0,0,0,0,4.26128482458667E-05,0.0268445636,0.1729992622,0.0111798698,0,0,0,0,0,0,0.0010619662,0.055218276,1,0.1127638442,0,0,0,0,0,0,0.0002558985,0.0244635859,0.052341075,0.0251083491,0,0,0,0,0,0,0,0,0.0007311108,6.25089642517535E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15842310642821E-05,0,0,0,0,0,0,0,0,0.0011812271,0.039655632,0.1204565398,0,0,0,0,0,0,0,0.0009798487,0.1127638442,1,0,0,0,0,0,0,0,0.0003233213,0.0305827479,0.0887732642,0,0,0,0,0,0,0,0,0,7.40077495203666E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001893476,0.0014256328,0,0,0,0,0,0,0,0,0.0390964398,0.0216171116,0,0,0,0,0,0,0,0,1,0.044652258,8.01967884428714E-06,0,0,0,0,0,0,0,0.0425164025,0.0163804313,0.0001920082,0,0,0,0,0,0,0,1.24176504331107E-06,8.64175730902379E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014170015,0.0017183243,0.0001344339,0,0,0,0,0,0,0,0.0239901272,0.0671545351,0.0201954682,0.001045056,0,0,0,0,0,0,0.044652258,1,0.0614385956,0.0020951668,0,0,0,0,0,0,0.0290459737,0.1006344611,0.0447595594,0.0003365319,0,0,0,0,0,0,0.0001831758,8.32859636508878E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014492431,0.0011989506,0.000212136,0,0,0,0,0,0,1.60358856590922E-05,0.008455956,0.1479817036,0.0106459807,2.67926135421245E-05,0,0,0,0,0,8.01967884428714E-06,0.0614385956,1,0.0521152705,0.000001293,0,0,0,0,0,0,0.0489510353,0.0665328515,0.0157372284,0.0002872782,0,0,0,0,0,0,0,0.0005715256,5.47118052149947E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011233334,0.0015844967,0.0004972161,0,0,0,0,0,0,0,0.0238426118,0.118449028,0.0316272846,1.64309433542252E-05,0,0,0,0,0,0.0020951668,0.0521152705,1,0.071581744,0.0013152271,0,0,0,0,0,0.0002514295,0.0146359466,0.1406309126,0.0116941905,0.000338884,0,0,0,0,0,0,0.0003798189,0.0001193203,0.0004058406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015353877,0.0011009579,9.41763864355198E-05,0,0,0,0,0,0,0.0010326741,0.0115011274,0.0549106174,0.0130694547,0,0,0,0,0,0,0.000001293,0.071581744,1,0.0906098813,0.0008854377,0,0,0,0,0,0,0.010971434,0.087895336,0.0167765126,1.94890615469966E-05,0,0,0,0,0,0,4.53344567686011E-05,0.006153319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25214831556801E-05,0.0065020749,0.0003457306,0,0,0,0,0,0,0,0.0146493718,0.0866014861,0.0327653868,0,0,0,0,0,0,0.0013152271,0.0906098813,1,0.2622933863,0.0029506495,0,0,0,0,0,0,0.0265846539,0.0650457279,0.0205532406,0.000003405,0,0,0,0,0,0,0.0005281758,0.0003882995,0.0004897347,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83723720411986E-06,0.0074300859,0.0002166259,0,0,0,0,0,0,0.0001360375,0.074354382,0.085979168,0.0263766128,0.0002558985,0,0,0,0,0,0.0008854377,0.2622933863,1,0.1004552558,0.0015186943,0,0,0,0,0,2.72237548705363E-05,0.027306162,0.0538987309,0.0380877489,8.98484056833287E-05,0,0,0,0,0,0,9.58675710802945E-05,0.0008627265,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22869356400038E-05,0.0015546108,1.24313077782062E-05,0,0,0,0,0,0,0,0.0219006384,0.0895061536,0.0244635859,0.0003233213,0,0,0,0,0,0.0029506495,0.1004552558,1,0.0841818009,4.57515305430494E-05,0,0,0,0,0,0.001297444,0.0158893347,0.0735777405,0.0378052417,4.39642828493389E-05,0,0,0,0,0,0,0.000002243,0.0006140924,0.0054577745,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003204779,0.0022148671,2.14196616232848E-07,0,0,0,0,0,0,0.0005205914,0.0743909791,0.052341075,0.0305827479,0,0,0,0,0,0,0.0015186943,0.0841818009,1,0.1435690484,0,0,0,0,0,0,6.34588767183287E-05,0.0363884411,0.0844507943,0.0449972601,0,0,0,0,0,0,0,0,0.0010539126,0.0011705998,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002031824,0.0021945041,0,0,0,0,0,0,0,0.0027231917,0.0251083491,0.0887732642,0,0,0,0,0,0,0,4.57515305430494E-05,0.1435690484,1,0,0,0,0,0,0,0,0.0003881615,0.0395568463,0.0921814744,0,0,0,0,0,0,0,0,1.94552481619038E-05,0.0025841249,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001576435,0.0001168023,0,0,0,0,0,0,0,0,0.0425164025,0.0290459737,0,0,0,0,0,0,0,0,1,0.0610395385,0.0027612471,0,0,0,0,0,0,0,0.1273059309,0.0130985941,1.73348023896245E-06,0,0,0,0,0,0,0,3.0839754745711E-05,0.0004026101,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007890485,0,0,0,0,0,0,0,0,0.0163804313,0.1006344611,0.0489510353,0.0002514295,0,0,0,0,0,0,0.0610395385,1,0.1201548634,0.0019314736,0,0,0,0,0,0,0.0114759336,0.0853541023,0.0468619162,0.000000031,0,0,0,0,0,0,2.83445164878507E-05,0.0003875469,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001115402,0,0,0,0,0,0,0,0.0001920082,0.0447595594,0.0665328515,0.0146359466,0,0,0,0,0,0,0.0027612471,0.1201548634,1,0.1162485874,0.0095132028,0,0,0,0,0,2.66821293105689E-05,0.0071992338,0.0998061116,0.0166562265,1.65698194137158E-05,0,0,0,0,0,0,1.73247672697023E-05,0.0030904839,5.13309442075189E-05,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002889094,0.0001978873,0,0,0,0,0,0,0.0003365319,0.0157372284,0.1406309126,0.010971434,0,0,0,0,0,0,0.0019314736,0.1162485874,1,0.1357703799,0.0013188826,0,0,0,0,0,0,0.0261806497,0.1501687683,0.0220246691,0.000126758,0,0,0,0,0,0,8.45355969213701E-09,0.0036293452,6.20882567488222E-05,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006029604,0.000846399,0,0,0,0,0,0,0,0.0002872782,0.0116941905,0.087895336,0.0265846539,2.72237548705363E-05,0,0,0,0,0,0.0095132028,0.1357703799,1,0.0943657919,0.0064827914,0,0,0,0,0,0.0001663915,0.0178443006,0.0563437046,0.0366855277,2.99032023610717E-05,0,0,0,0,0,0,0.0001928688,0.0020735882,2.03407208462574E-06,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000389451,0.0013781418,0.0002255073,0,0,0,0,0,0,0.000338884,0.0167765126,0.0650457279,0.027306162,0.001297444,0,0,0,0,0,0.0013188826,0.0943657919,1,0.1232701281,0.0037964711,0,0,0,0,0,0,0.0095885624,0.1160176321,0.0094853456,0.0008749722,0,0,0,0,0,0,0,0.0008082642,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017596567,0.0006873181,0,0,0,0,0,0,0,1.94890615469966E-05,0.0205532406,0.0538987309,0.0158893347,6.34588767183287E-05,0,0,0,0,0,0.0064827914,0.1232701281,1,0.0458441037,0,0,0,0,0,0,2.21194276957598E-06,0.0133417082,0.0668776954,0.0182477522,0.0004976997,0,0,0,0,0,0,5.90998026433507E-05,6.74678340258556E-05,0.0012983584,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001397651,0.0129079546,0,0,0,0,0,0,0,0.000003405,0.0380877489,0.0735777405,0.0363884411,0.0003881615,0,0,0,0,0,0.0037964711,0.0458441037,1,0.0630179911,0.000351887,0,0,0,0,0,0.0003949867,0.0230908395,0.1157017438,0.0314031744,1.67717330367407E-05,0,0,0,0,0,0,0.0010519679,0.0003780901,4.27221332038903E-06,0
